,userId,itemId,rating
0,276,70,5.0
32769,59538,103980,3.0
32771,59538,106100,3.5
32774,59538,127050,4.0
65542,140065,34,4.0
8,276,593,5.0
32776,59538,128360,4.0
32777,59538,135143,4.0
65547,140065,50,3.0
32780,59538,150072,3.5
65550,140065,153,2.0
32784,59538,175745,3.5
65553,140065,163,4.0
19,276,1580,5.0
65555,140065,172,2.0
21,276,1969,1.0
24,276,2454,4.0
32792,60226,1682,5.0
27,276,2460,1.0
32795,60226,5989,4.0
29,276,2530,3.0
30,276,2532,3.0
65567,140065,300,3.0
32800,60226,56367,5.0
65569,140065,305,3.0
65572,140065,319,3.0
40,276,3510,5.0
32808,60226,90405,4.0
65579,140065,383,4.0
46,276,3930,4.0
32814,60226,134130,4.5
32815,60226,164179,3.5
49,417,17,3.0
65584,140065,474,3.0
51,417,106,5.0
52,417,213,4.0
32821,60661,7,4.0
65585,140065,477,3.0
65587,140065,485,2.0
32824,60661,112,4.0
65590,140065,585,3.0
62,417,608,4.0
63,417,665,4.0
65600,140065,780,2.0
32836,60661,858,3.0
32837,60661,1073,3.0
65604,140469,5,5.0
65606,140469,17,3.0
72,417,1172,5.0
65611,140469,296,3.0
32844,61058,1270,4.0
65613,140469,356,5.0
78,417,1316,5.0
32846,61058,1610,4.0
80,417,1617,4.0
65624,140469,1356,5.0
89,417,2324,3.0
90,417,2336,4.0
32857,61058,4226,4.0
93,417,2396,4.0
65629,140778,63,1.0
32864,61058,5418,5.0
65633,140778,150,3.0
99,417,2700,4.0
65637,140778,253,3.0
65638,140778,260,4.0
65640,140778,276,3.0
106,417,3129,4.0
65642,140778,339,3.0
32876,61058,48516,4.0
32877,61058,48780,3.5
32881,61058,51935,3.0
65650,140778,380,4.0
32883,61058,54286,5.0
65652,140778,420,3.0
117,488,162,3.0
65655,140778,434,3.0
65659,140778,454,3.0
32892,61058,86781,1.0
32894,61058,89087,3.0
127,488,593,4.0
32896,61058,91535,4.0
65662,140778,474,4.0
32900,61058,99114,1.0
133,488,903,4.0
138,488,952,2.0
32907,61567,1206,5.0
140,488,1035,3.0
65674,140778,586,2.0
65676,140778,592,4.0
143,488,1203,4.0
144,488,1207,4.0
145,488,1208,4.0
32916,61567,3752,2.5
32920,61567,3977,4.0
156,488,1254,5.0
65692,140778,1136,3.0
32926,61567,4370,5.0
159,488,1262,5.0
32927,61567,4816,2.0
65693,140778,1183,3.0
162,488,1270,2.0
32931,61567,4993,3.0
32932,61567,4995,2.0
65694,140778,1191,1.0
65695,140778,1196,5.0
65701,140778,1238,3.0
32936,61567,5418,4.0
32938,61567,5481,3.0
171,488,1625,4.0
173,488,1953,4.0
174,488,1954,3.0
32941,61567,5952,2.0
32943,61567,6333,3.0
177,488,2000,5.0
178,488,2028,4.0
179,488,2054,2.0
65710,140778,1357,1.0
65716,140778,1376,3.0
32950,61567,6874,5.0
32951,61567,6934,4.0
185,488,2406,4.0
65724,140778,1488,3.0
65729,140778,1517,3.0
197,488,3363,4.0
32966,61567,32587,5.0
65735,140778,1550,4.0
65737,140778,1566,2.0
32972,61567,44974,5.0
65743,140892,1,4.0
65744,140892,6,5.0
210,656,262,4.0
32979,61567,52281,5.0
32981,61567,55820,5.0
214,656,757,5.0
215,656,1218,4.0
65749,140892,150,4.0
32987,61567,64614,3.0
65758,140892,588,4.0
65761,140892,608,4.0
32994,62378,2,3.0
32997,62378,5,4.0
65767,140892,1196,4.0
232,656,8983,2.5
33000,62378,11,4.0
65770,140892,1213,4.0
237,656,45499,3.0
238,656,46322,4.0
239,959,17,3.0
240,959,21,4.0
33009,62378,140,4.0
242,959,34,4.0
243,959,36,4.0
33012,62378,631,3.0
65775,140892,1270,5.0
65777,140892,1584,5.0
65784,140892,2028,4.0
65785,140892,2174,3.0
65786,140892,2291,5.0
33019,62890,10,3.0
33020,62890,14,3.0
33021,62890,22,2.0
258,959,527,4.0
33027,62890,47,4.0
65794,140892,2692,4.0
265,959,908,5.0
33035,62890,162,3.0
269,959,1059,4.0
65805,140892,3153,5.0
33039,62890,196,2.0
273,959,1210,4.0
33044,62890,246,2.0
65813,141054,175,5.0
278,959,1358,5.0
33047,62890,293,4.0
65817,141054,466,4.0
291,959,1794,2.0
33060,62890,381,4.0
293,959,1883,3.0
65832,141054,2746,0.5
33066,62890,508,2.0
299,959,2278,5.0
302,959,2329,3.0
65840,141054,4226,2.0
307,959,2858,4.0
33075,62890,697,1.0
65845,141054,5419,4.5
65846,141054,5644,5.0
311,959,3006,4.0
65847,141054,5679,2.5
65848,141054,5952,1.0
33082,62890,780,3.0
315,1332,260,3.0
33086,62890,996,3.0
65854,141054,6523,2.5
325,1332,2396,5.0
65861,141103,527,5.0
328,1332,3408,4.0
329,1332,4995,5.0
33096,62890,1356,3.0
65864,141103,595,3.5
337,1332,116797,5.0
65876,141103,1193,4.5
344,1550,628,5.0
33112,62890,1584,3.0
348,1550,1028,4.0
349,1550,1030,3.0
350,1550,1079,5.0
33116,62890,1608,3.0
352,1550,1193,5.0
33117,62890,1617,4.0
